Task ID,Created At,Completed At,Last Modified,Name,Section/Column,Assignee,Assignee Email,Start Date,Due Date,Tags,Notes,Projects,Parent task,Blocked By (Dependencies),Blocking (Dependencies),ID
SAMPLE-001,,,,Project Planning Task 1,0. Project Planning,Sample Owner 2,,2026/07/01,2026/07/04,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,,,ID-SAMPLE-001
SAMPLE-002,,,,Project Planning Task 2,0. Project Planning,Sample Owner 3,,2026/07/03,2026/07/06,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Project Planning Task 1,,ID-SAMPLE-002
SAMPLE-003,,,,Project Planning Task 3,0. Project Planning,Sample Owner 1,,2026/07/05,2026/07/08,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Project Planning Task 2,,ID-SAMPLE-003
SAMPLE-004,,,,Project Planning Milestone,0. Project Planning,Sample Owner 2,,,2026/07/10,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Project Planning Task 3,,ID-SAMPLE-004
SAMPLE-005,,,,Discovery Task 1,1. Discovery,Sample Owner 3,,2026/07/08,2026/07/11,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Project Planning Milestone,,ID-SAMPLE-005
SAMPLE-006,,,,Discovery Task 2,1. Discovery,Sample Owner 1,,2026/07/10,2026/07/13,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Discovery Task 1,,ID-SAMPLE-006
SAMPLE-007,,,,Discovery Task 3,1. Discovery,Sample Owner 2,,2026/07/12,2026/07/15,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Discovery Task 2,,ID-SAMPLE-007
SAMPLE-008,,,,Discovery Milestone,1. Discovery,Sample Owner 3,,,2026/07/17,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Discovery Task 3,,ID-SAMPLE-008
SAMPLE-009,,,,Requirements Task 1,2. Requirements,Sample Owner 1,,2026/07/15,2026/07/18,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Discovery Milestone,,ID-SAMPLE-009
SAMPLE-010,,,,Requirements Task 2,2. Requirements,Sample Owner 2,,2026/07/17,2026/07/20,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Requirements Task 1,,ID-SAMPLE-010
SAMPLE-011,,,,Requirements Task 3,2. Requirements,Sample Owner 3,,2026/07/19,2026/07/22,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Requirements Task 2,,ID-SAMPLE-011
SAMPLE-012,,,,Requirements Milestone,2. Requirements,Sample Owner 1,,,2026/07/24,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Requirements Task 3,,ID-SAMPLE-012
SAMPLE-013,,,,Information Architecture Task 1,3. Information Architecture,Sample Owner 2,,2026/07/22,2026/07/25,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Requirements Milestone,,ID-SAMPLE-013
SAMPLE-014,,,,Information Architecture Task 2,3. Information Architecture,Sample Owner 3,,2026/07/24,2026/07/27,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Information Architecture Task 1,,ID-SAMPLE-014
SAMPLE-015,,,,Information Architecture Task 3,3. Information Architecture,Sample Owner 1,,2026/07/26,2026/07/29,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Information Architecture Task 2,,ID-SAMPLE-015
SAMPLE-016,,,,Information Architecture Milestone,3. Information Architecture,Sample Owner 2,,,2026/07/31,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Information Architecture Task 3,,ID-SAMPLE-016
SAMPLE-017,,,,Design Preparation Task 1,4. Design Preparation,Sample Owner 3,,2026/07/29,2026/08/01,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Information Architecture Milestone,,ID-SAMPLE-017
SAMPLE-018,,,,Design Preparation Task 2,4. Design Preparation,Sample Owner 1,,2026/07/31,2026/08/03,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Design Preparation Task 1,,ID-SAMPLE-018
SAMPLE-019,,,,Design Preparation Task 3,4. Design Preparation,Sample Owner 2,,2026/08/02,2026/08/05,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Design Preparation Task 2,,ID-SAMPLE-019
SAMPLE-020,,,,Design Preparation Milestone,4. Design Preparation,Sample Owner 3,,,2026/08/07,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Design Preparation Task 3,,ID-SAMPLE-020
SAMPLE-021,,,,Design Production Task 1,5. Design Production,Sample Owner 1,,2026/08/05,2026/08/08,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Design Preparation Milestone,,ID-SAMPLE-021
SAMPLE-022,,,,Design Production Task 2,5. Design Production,Sample Owner 2,,2026/08/07,2026/08/10,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Design Production Task 1,,ID-SAMPLE-022
SAMPLE-023,,,,Design Production Task 3,5. Design Production,Sample Owner 3,,2026/08/09,2026/08/12,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Design Production Task 2,,ID-SAMPLE-023
SAMPLE-024,,,,Design Production Milestone,5. Design Production,Sample Owner 1,,,2026/08/14,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Design Production Task 3,,ID-SAMPLE-024
SAMPLE-025,,,,Content Preparation Task 1,6. Content Preparation,Sample Owner 2,,2026/08/12,2026/08/15,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Design Production Milestone,,ID-SAMPLE-025
SAMPLE-026,,,,Content Preparation Task 2,6. Content Preparation,Sample Owner 3,,2026/08/14,2026/08/17,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Content Preparation Task 1,,ID-SAMPLE-026
SAMPLE-027,,,,Content Preparation Task 3,6. Content Preparation,Sample Owner 1,,2026/08/16,2026/08/19,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Content Preparation Task 2,,ID-SAMPLE-027
SAMPLE-028,,,,Content Preparation Milestone,6. Content Preparation,Sample Owner 2,,,2026/08/21,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Content Preparation Task 3,,ID-SAMPLE-028
SAMPLE-029,,,,Frontend Implementation Task 1,7. Frontend Implementation,Sample Owner 3,,2026/08/19,2026/08/22,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Content Preparation Milestone,,ID-SAMPLE-029
SAMPLE-030,,,,Frontend Implementation Task 2,7. Frontend Implementation,Sample Owner 1,,2026/08/21,2026/08/24,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Frontend Implementation Task 1,,ID-SAMPLE-030
SAMPLE-031,,,,Frontend Implementation Task 3,7. Frontend Implementation,Sample Owner 2,,2026/08/23,2026/08/26,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Frontend Implementation Task 2,,ID-SAMPLE-031
SAMPLE-032,,,,Frontend Implementation Milestone,7. Frontend Implementation,Sample Owner 3,,,2026/08/28,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Frontend Implementation Task 3,,ID-SAMPLE-032
SAMPLE-033,,,,Feature Implementation Task 1,8. Feature Implementation,Sample Owner 1,,2026/08/26,2026/08/29,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Frontend Implementation Milestone,,ID-SAMPLE-033
SAMPLE-034,,,,Feature Implementation Task 2,8. Feature Implementation,Sample Owner 2,,2026/08/28,2026/08/31,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Feature Implementation Task 1,,ID-SAMPLE-034
SAMPLE-035,,,,Feature Implementation Task 3,8. Feature Implementation,Sample Owner 3,,2026/08/30,2026/09/02,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Feature Implementation Task 2,,ID-SAMPLE-035
SAMPLE-036,,,,Feature Implementation Milestone,8. Feature Implementation,Sample Owner 1,,,2026/09/04,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Feature Implementation Task 3,,ID-SAMPLE-036
SAMPLE-037,,,,Data Review Task 1,9. Data Review,Sample Owner 2,,2026/09/02,2026/09/05,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Feature Implementation Milestone,,ID-SAMPLE-037
SAMPLE-038,,,,Data Review Task 2,9. Data Review,Sample Owner 3,,2026/09/04,2026/09/07,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Data Review Task 1,,ID-SAMPLE-038
SAMPLE-039,,,,Data Review Task 3,9. Data Review,Sample Owner 1,,2026/09/06,2026/09/09,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Data Review Task 2,,ID-SAMPLE-039
SAMPLE-040,,,,Data Review Milestone,9. Data Review,Sample Owner 2,,,2026/09/11,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Data Review Task 3,,ID-SAMPLE-040
SAMPLE-041,,,,Stakeholder Review Task 1,10. Stakeholder Review,Sample Owner 3,,2026/09/09,2026/09/12,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Data Review Milestone,,ID-SAMPLE-041
SAMPLE-042,,,,Stakeholder Review Task 2,10. Stakeholder Review,Sample Owner 1,,2026/09/11,2026/09/14,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Stakeholder Review Task 1,,ID-SAMPLE-042
SAMPLE-043,,,,Stakeholder Review Task 3,10. Stakeholder Review,Sample Owner 2,,2026/09/13,2026/09/16,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Stakeholder Review Task 2,,ID-SAMPLE-043
SAMPLE-044,,,,Stakeholder Review Milestone,10. Stakeholder Review,Sample Owner 3,,,2026/09/18,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Stakeholder Review Task 3,,ID-SAMPLE-044
SAMPLE-045,,,,Revision Work Task 1,11. Revision Work,Sample Owner 1,,2026/09/16,2026/09/19,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Stakeholder Review Milestone,,ID-SAMPLE-045
SAMPLE-046,,,,Revision Work Task 2,11. Revision Work,Sample Owner 2,,2026/09/18,2026/09/21,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Revision Work Task 1,,ID-SAMPLE-046
SAMPLE-047,,,,Revision Work Task 3,11. Revision Work,Sample Owner 3,,2026/09/20,2026/09/23,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Revision Work Task 2,,ID-SAMPLE-047
SAMPLE-048,,,,Revision Work Milestone,11. Revision Work,Sample Owner 1,,,2026/09/25,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Revision Work Task 3,,ID-SAMPLE-048
SAMPLE-049,,,,Acceptance Testing Task 1,12. Acceptance Testing,Sample Owner 2,,2026/09/23,2026/09/26,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Revision Work Milestone,,ID-SAMPLE-049
SAMPLE-050,,,,Acceptance Testing Task 2,12. Acceptance Testing,Sample Owner 3,,2026/09/25,2026/09/28,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Acceptance Testing Task 1,,ID-SAMPLE-050
SAMPLE-051,,,,Acceptance Testing Task 3,12. Acceptance Testing,Sample Owner 1,,2026/09/27,2026/09/30,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Acceptance Testing Task 2,,ID-SAMPLE-051
SAMPLE-052,,,,Acceptance Testing Milestone,12. Acceptance Testing,Sample Owner 2,,,2026/10/02,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Acceptance Testing Task 3,,ID-SAMPLE-052
SAMPLE-053,,,,Launch Preparation Task 1,13. Launch Preparation,Sample Owner 3,,2026/09/30,2026/10/03,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Acceptance Testing Milestone,,ID-SAMPLE-053
SAMPLE-054,,,,Launch Preparation Task 2,13. Launch Preparation,Sample Owner 1,,2026/10/02,2026/10/05,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Launch Preparation Task 1,,ID-SAMPLE-054
SAMPLE-055,,,,Launch Preparation Task 3,13. Launch Preparation,Sample Owner 2,,2026/10/04,2026/10/07,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Launch Preparation Task 2,,ID-SAMPLE-055
SAMPLE-056,,,,Launch Preparation Milestone,13. Launch Preparation,Sample Owner 3,,,2026/10/09,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Launch Preparation Task 3,,ID-SAMPLE-056
SAMPLE-057,,,,Operations Handoff Task 1,14. Operations Handoff,Sample Owner 1,,2026/10/07,2026/10/10,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Launch Preparation Milestone,,ID-SAMPLE-057
SAMPLE-058,,,,Operations Handoff Task 2,14. Operations Handoff,Sample Owner 2,,2026/10/09,2026/10/12,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Operations Handoff Task 1,,ID-SAMPLE-058
SAMPLE-059,,,,Operations Handoff Task 3,14. Operations Handoff,Sample Owner 3,,2026/10/11,2026/10/14,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Operations Handoff Task 2,,ID-SAMPLE-059
SAMPLE-060,,,,Operations Handoff Milestone,14. Operations Handoff,Sample Owner 1,,,2026/10/16,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Operations Handoff Task 3,,ID-SAMPLE-060
SAMPLE-061,,,,Completion Check Task 1,15. Completion Check,Sample Owner 2,,2026/10/14,2026/10/17,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Operations Handoff Milestone,,ID-SAMPLE-061
SAMPLE-062,,,,Completion Check Task 2,15. Completion Check,Sample Owner 3,,2026/10/16,2026/10/19,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Completion Check Task 1,,ID-SAMPLE-062
SAMPLE-063,,,,Completion Check Task 3,15. Completion Check,Sample Owner 1,,2026/10/18,2026/10/21,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Completion Check Task 2,,ID-SAMPLE-063
SAMPLE-064,,,,Completion Check Milestone,15. Completion Check,Sample Owner 2,,,2026/10/23,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Completion Check Task 3,,ID-SAMPLE-064
SAMPLE-065,,,,Improvements Task 1,16. Improvements,Sample Owner 3,,2026/10/21,2026/10/24,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Completion Check Milestone,,ID-SAMPLE-065
SAMPLE-066,,,,Improvements Task 2,16. Improvements,Sample Owner 1,,2026/10/23,2026/10/26,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Improvements Task 1,,ID-SAMPLE-066
SAMPLE-067,,,,Improvements Task 3,16. Improvements,Sample Owner 2,,2026/10/25,2026/10/28,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Improvements Task 2,,ID-SAMPLE-067
SAMPLE-068,,,,Improvements Milestone,16. Improvements,Sample Owner 3,,,2026/10/30,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Improvements Task 3,,ID-SAMPLE-068
SAMPLE-069,,,,Retrospective Task 1,17. Retrospective,Sample Owner 1,,2026/10/28,2026/10/31,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Improvements Milestone,,ID-SAMPLE-069
SAMPLE-070,,,,Retrospective Task 2,17. Retrospective,Sample Owner 2,,2026/10/30,2026/11/02,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Retrospective Task 1,,ID-SAMPLE-070
SAMPLE-071,,,,Retrospective Task 3,17. Retrospective,Sample Owner 3,,2026/11/01,2026/11/04,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Retrospective Task 2,,ID-SAMPLE-071
SAMPLE-072,,,,Retrospective Milestone,17. Retrospective,Sample Owner 1,,,2026/11/06,,Sanitized sample data for GitHub Pages verification. No real project data is included.,Sample Project,,Retrospective Task 3,,ID-SAMPLE-072
